
...................................................
before gpu command
after gpu command
(1/8);|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|            1 |           50 |         0.96 |       0.6929 |       53.12% |     0.100000 |
|            1 |          100 |         1.43 |       0.6927 |       51.56% |     0.100000 |
|            1 |          150 |         2.04 |       0.6933 |       50.00% |     0.100000 |
|            1 |          200 |         2.49 |       0.6959 |       48.44% |     0.100000 |
|            1 |          250 |         2.93 |       0.6914 |       53.12% |     0.100000 |
|            1 |          300 |         3.37 |       0.6941 |       48.44% |     0.100000 |
|            1 |          350 |         3.82 |       0.6956 |       48.44% |     0.100000 |
|            1 |          400 |         4.29 |       0.6572 |       56.25% |     0.100000 |
|            1 |          450 |         4.76 |       0.5749 |       65.62% |     0.100000 |
|            1 |          500 |         5.24 |       0.6732 |       64.06% |     0.100000 |
|            1 |          550 |         5.71 |       0.4364 |       78.12% |     0.100000 |
|            1 |          600 |         6.19 |       0.6697 |       65.62% |     0.100000 |
|            1 |          650 |         6.67 |       0.4344 |       79.69% |     0.100000 |
|            2 |          700 |         7.17 |       0.3904 |       79.69% |     0.100000 |
|            2 |          750 |         7.65 |       0.4269 |       75.00% |     0.100000 |
|            2 |          800 |         8.13 |       0.4766 |       68.75% |     0.100000 |
|            2 |          850 |         8.62 |       0.4632 |       78.12% |     0.100000 |
|            2 |          900 |         9.10 |       0.4257 |       79.69% |     0.100000 |
|            2 |          950 |         9.58 |       0.4632 |       64.06% |     0.100000 |
|            2 |         1000 |        10.06 |       0.4535 |       71.88% |     0.100000 |
|            2 |         1050 |        10.54 |       0.3921 |       76.56% |     0.100000 |
|            2 |         1100 |        11.02 |       0.4079 |       76.56% |     0.100000 |
|            2 |         1150 |        11.50 |       0.4785 |       76.56% |     0.100000 |
|            2 |         1200 |        11.99 |       0.4426 |       71.88% |     0.100000 |
|            2 |         1250 |        12.46 |       0.4482 |       76.56% |     0.100000 |
|            2 |         1300 |        12.95 |       0.5822 |       70.31% |     0.100000 |
|            3 |         1350 |        13.44 |       0.4614 |       67.19% |     0.100000 |
|            3 |         1400 |        13.93 |       0.4219 |       71.88% |     0.100000 |
|            3 |         1450 |        14.41 |       0.4198 |       79.69% |     0.100000 |
|            3 |         1500 |        14.90 |       0.5184 |       68.75% |     0.100000 |
|            3 |         1550 |        15.38 |       0.4283 |       81.25% |     0.100000 |
|            3 |         1600 |        15.86 |       0.4660 |       64.06% |     0.100000 |
|            3 |         1650 |        16.34 |       0.4371 |       75.00% |     0.100000 |
|            3 |         1700 |        16.83 |       0.4040 |       71.88% |     0.100000 |
|            3 |         1750 |        17.31 |       0.4033 |       75.00% |     0.100000 |
|            3 |         1800 |        17.79 |       0.5481 |       71.88% |     0.100000 |
|            3 |         1850 |        18.27 |       0.3630 |       82.81% |     0.100000 |
|            3 |         1900 |        18.75 |       0.5026 |       65.62% |     0.100000 |
|            3 |         1950 |        19.24 |       0.5325 |       70.31% |     0.100000 |
|            4 |         2000 |        19.75 |       0.3810 |       73.44% |     0.100000 |
|            4 |         2050 |        20.23 |       0.3427 |       82.81% |     0.100000 |
|            4 |         2100 |        20.72 |       0.5877 |       68.75% |     0.100000 |
|            4 |         2150 |        21.21 |       0.3604 |       76.56% |     0.100000 |
|            4 |         2200 |        21.69 |       0.3828 |       78.12% |     0.100000 |
|            4 |         2250 |        22.18 |       0.4747 |       73.44% |     0.100000 |
|            4 |         2300 |        22.67 |       0.3830 |       73.44% |     0.100000 |
|            4 |         2350 |        23.16 |       0.4618 |       78.12% |     0.100000 |
|            4 |         2400 |        23.65 |       0.3842 |       75.00% |     0.100000 |
|            4 |         2450 |        24.13 |       0.6979 |       70.31% |     0.100000 |
|            4 |         2500 |        24.63 |       0.5145 |       75.00% |     0.100000 |
|            4 |         2550 |        25.11 |       0.3211 |       75.00% |     0.100000 |
|            4 |         2600 |        25.59 |       0.4275 |       73.44% |     0.100000 |
|            5 |         2650 |        26.09 |       0.4379 |       70.31% |     0.040000 |
|            5 |         2700 |        26.57 |       0.3754 |       75.00% |     0.040000 |
|            5 |         2750 |        27.05 |       0.3867 |       73.44% |     0.040000 |
|            5 |         2800 |        27.53 |       0.3192 |       82.81% |     0.040000 |
|            5 |         2850 |        28.01 |       0.4176 |       78.12% |     0.040000 |
|            5 |         2900 |        28.49 |       0.4291 |       81.25% |     0.040000 |
|            5 |         2950 |        28.97 |       0.3290 |       76.56% |     0.040000 |
|            5 |         3000 |        29.45 |       0.4557 |       82.81% |     0.040000 |
|            5 |         3050 |        29.93 |       0.4757 |       73.44% |     0.040000 |
|            5 |         3100 |        30.41 |       0.3152 |       76.56% |     0.040000 |
|            5 |         3150 |        30.90 |       0.3561 |       75.00% |     0.040000 |
|            5 |         3200 |        31.38 |       0.4531 |       73.44% |     0.040000 |
|            5 |         3250 |        31.87 |       0.3367 |       82.81% |     0.040000 |
|            6 |         3300 |        32.36 |       0.3805 |       81.25% |     0.040000 |
|            6 |         3350 |        32.85 |       0.3282 |       79.69% |     0.040000 |
|            6 |         3400 |        33.33 |       0.2057 |       92.19% |     0.040000 |
|            6 |         3450 |        33.81 |       0.4183 |       75.00% |     0.040000 |
|            6 |         3500 |        34.30 |       0.2820 |       84.38% |     0.040000 |
|            6 |         3550 |        34.79 |       0.4045 |       76.56% |     0.040000 |
|            6 |         3600 |        35.27 |       0.3979 |       73.44% |     0.040000 |
|            6 |         3650 |        35.76 |       0.3211 |       75.00% |     0.040000 |
|            6 |         3700 |        36.24 |       0.4267 |       79.69% |     0.040000 |
|            6 |         3750 |        36.73 |       0.3781 |       78.12% |     0.040000 |
|            6 |         3800 |        37.22 |       0.2478 |       85.94% |     0.040000 |
|            6 |         3850 |        37.70 |       0.3861 |       76.56% |     0.040000 |
|            6 |         3900 |        38.18 |       0.3633 |       85.94% |     0.040000 |
|            7 |         3950 |        38.68 |       0.3181 |       90.62% |     0.040000 |
|            7 |         4000 |        39.17 |       0.3163 |       78.12% |     0.040000 |
|            7 |         4050 |        39.65 |       0.2994 |       85.94% |     0.040000 |
|            7 |         4100 |        40.13 |       0.3867 |       76.56% |     0.040000 |
|            7 |         4150 |        40.62 |       0.4230 |       65.62% |     0.040000 |
|            7 |         4200 |        41.10 |       0.3902 |       75.00% |     0.040000 |
|            7 |         4250 |        41.58 |       0.4052 |       71.88% |     0.040000 |
|            7 |         4300 |        42.07 |       0.2901 |       78.12% |     0.040000 |
|            7 |         4350 |        42.55 |       0.3007 |       82.81% |     0.040000 |
|            7 |         4400 |        43.04 |       0.3411 |       84.38% |     0.040000 |
|            7 |         4450 |        43.51 |       0.3786 |       79.69% |     0.040000 |
|            7 |         4500 |        43.99 |       0.4207 |       73.44% |     0.040000 |
|            7 |         4550 |        44.48 |       0.4232 |       70.31% |     0.040000 |
|            8 |         4600 |        44.97 |       0.4820 |       73.44% |     0.040000 |
|            8 |         4650 |        45.45 |       0.3565 |       76.56% |     0.040000 |
|            8 |         4700 |        45.93 |       0.3176 |       73.44% |     0.040000 |
|            8 |         4750 |        46.41 |       0.3864 |       78.12% |     0.040000 |
|            8 |         4800 |        46.90 |       0.3540 |       71.88% |     0.040000 |
|            8 |         4850 |        47.38 |       0.4034 |       85.94% |     0.040000 |
|            8 |         4900 |        47.86 |       0.2728 |       84.38% |     0.040000 |
|            8 |         4950 |        48.34 |       0.3869 |       78.12% |     0.040000 |
|            8 |         5000 |        48.82 |       0.3867 |       79.69% |     0.040000 |
|            8 |         5050 |        49.30 |       0.2704 |       87.50% |     0.040000 |
|            8 |         5100 |        49.78 |       0.3205 |       84.38% |     0.040000 |
|            8 |         5150 |        50.26 |       0.4004 |       85.94% |     0.040000 |
|            8 |         5200 |        50.73 |       0.3238 |       85.94% |     0.040000 |
|            9 |         5250 |        51.19 |       0.3102 |       85.94% |     0.016000 |
|            9 |         5300 |        51.65 |       0.3957 |       78.12% |     0.016000 |
|            9 |         5350 |        52.11 |       0.3030 |       79.69% |     0.016000 |
|            9 |         5400 |        52.57 |       0.2899 |       84.38% |     0.016000 |
|            9 |         5450 |        53.03 |       0.3560 |       84.38% |     0.016000 |
|            9 |         5500 |        53.49 |       0.3631 |       79.69% |     0.016000 |
|            9 |         5550 |        53.95 |       0.2980 |       79.69% |     0.016000 |
|            9 |         5600 |        54.40 |       0.4291 |       87.50% |     0.016000 |
|            9 |         5650 |        54.86 |       0.3859 |       81.25% |     0.016000 |
|            9 |         5700 |        55.32 |       0.3061 |       87.50% |     0.016000 |
|            9 |         5750 |        55.77 |       0.3747 |       75.00% |     0.016000 |
|            9 |         5800 |        56.23 |       0.2631 |       89.06% |     0.016000 |
|            9 |         5850 |        56.69 |       0.2243 |       89.06% |     0.016000 |
|           10 |         5900 |        57.16 |       0.2785 |       84.38% |     0.016000 |
|           10 |         5950 |        57.61 |       0.3312 |       84.38% |     0.016000 |
|           10 |         6000 |        58.07 |       0.3970 |       76.56% |     0.016000 |
|           10 |         6050 |        58.52 |       0.3337 |       76.56% |     0.016000 |
|           10 |         6100 |        58.98 |       0.2906 |       85.94% |     0.016000 |
|           10 |         6150 |        59.44 |       0.3723 |       79.69% |     0.016000 |
|           10 |         6200 |        59.90 |       0.2688 |       85.94% |     0.016000 |
|           10 |         6250 |        60.36 |       0.3085 |       87.50% |     0.016000 |
|           10 |         6300 |        60.85 |       0.3605 |       79.69% |     0.016000 |
|           10 |         6350 |        61.33 |       0.3439 |       84.38% |     0.016000 |
|           10 |         6400 |        61.82 |       0.4466 |       71.88% |     0.016000 |
|           10 |         6450 |        62.30 |       0.3627 |       78.12% |     0.016000 |
|           10 |         6500 |        62.78 |       0.3038 |       82.81% |     0.016000 |
|           11 |         6550 |        63.30 |       0.3217 |       81.25% |     0.016000 |
|           11 |         6600 |        63.78 |       0.4240 |       76.56% |     0.016000 |
|           11 |         6650 |        64.26 |       0.3144 |       82.81% |     0.016000 |
|           11 |         6700 |        64.74 |       0.3890 |       76.56% |     0.016000 |
|           11 |         6750 |        65.23 |       0.3084 |       79.69% |     0.016000 |
|           11 |         6800 |        65.71 |       0.3547 |       82.81% |     0.016000 |
|           11 |         6850 |        66.20 |       0.3279 |       87.50% |     0.016000 |
|           11 |         6900 |        66.69 |       0.3894 |       82.81% |     0.016000 |
|           11 |         6950 |        67.17 |       0.3778 |       79.69% |     0.016000 |
|           11 |         7000 |        67.65 |       0.3373 |       78.12% |     0.016000 |
|           11 |         7050 |        68.13 |       0.2619 |       87.50% |     0.016000 |
|           11 |         7100 |        68.62 |       0.3191 |       79.69% |     0.016000 |
|           11 |         7150 |        69.10 |       0.3549 |       82.81% |     0.016000 |
|           12 |         7200 |        69.60 |       0.3265 |       85.94% |     0.016000 |
|           12 |         7250 |        70.08 |       0.4283 |       73.44% |     0.016000 |
|           12 |         7300 |        70.56 |       0.3617 |       76.56% |     0.016000 |
|           12 |         7350 |        71.04 |       0.3137 |       78.12% |     0.016000 |
|           12 |         7400 |        71.53 |       0.3087 |       76.56% |     0.016000 |
|           12 |         7450 |        72.00 |       0.3119 |       79.69% |     0.016000 |
|           12 |         7500 |        72.48 |       0.2821 |       85.94% |     0.016000 |
|           12 |         7550 |        72.96 |       0.3214 |       78.12% |     0.016000 |
|           12 |         7600 |        73.44 |       0.3348 |       85.94% |     0.016000 |
|           12 |         7650 |        73.93 |       0.2845 |       84.38% |     0.016000 |
|           12 |         7700 |        74.41 |       0.3146 |       87.50% |     0.016000 |
|           12 |         7750 |        74.89 |       0.3251 |       81.25% |     0.016000 |
|           12 |         7800 |        75.37 |       0.3753 |       79.69% |     0.016000 |
|           13 |         7850 |        75.87 |       0.2863 |       87.50% |     0.006400 |
|           13 |         7900 |        76.35 |       0.3347 |       79.69% |     0.006400 |
|           13 |         7950 |        76.84 |       0.3069 |       81.25% |     0.006400 |
|           13 |         8000 |        77.34 |       0.3544 |       79.69% |     0.006400 |
|           13 |         8050 |        77.83 |       0.3427 |       84.38% |     0.006400 |
|           13 |         8100 |        78.31 |       0.3190 |       85.94% |     0.006400 |
|           13 |         8150 |        78.79 |       0.3774 |       75.00% |     0.006400 |
|           13 |         8200 |        79.28 |       0.2831 |       81.25% |     0.006400 |
|           13 |         8250 |        79.77 |       0.4093 |       75.00% |     0.006400 |
